UMAP1,UMAP2,label,sentence
4.2293963,8.2407,random_legal_game_sequences,Na3 Nh6 f3 f6 h3
10.6892395,11.204575,random_legal_game_sequences,h3 Na6 b4 Rb8 c4
5.1931105,7.836945,random_legal_game_sequences,g4 Nf6 Nh3 Na6 Na3
5.3125124,6.9477825,random_legal_game_sequences,e3 d5 d3 Nh6 h3
13.11434,7.518666,random_legal_game_sequences,f3 c5 g4 h6 h4
4.6569886,7.759157,random_legal_game_sequences,b4 d6 Nh3 c5 Bb2
7.4607577,9.377185,random_legal_game_sequences,g4 b6 f3 Nc6 g5
10.512129,11.021784,random_legal_game_sequences,b3 Na6 Ba3 b6 Bb4
8.036854,9.044696,random_legal_game_sequences,a3 a6 e3 Nf6 h4
8.002164,10.881759,random_legal_game_sequences,f4 c5 Nc3 b6 Ne4
12.30852,6.921926,random_legal_game_sequences,c4 c6 b4 b5 h3
8.6288395,8.005665,random_legal_game_sequences,b4 f6 Ba3 Kf7 h3
9.171177,11.072287,random_legal_game_sequences,c3 Nc6 h3 Nb8 b3
8.798476,6.5826197,random_legal_game_sequences,d3 f5 h4 a6 Qd2
9.734961,7.6728654,random_legal_game_sequences,a3 a6 g3 d6 Bh3
11.03525,7.4759464,random_legal_game_sequences,a4 g6 e4 f6 Bc4
12.84585,7.631905,random_legal_game_sequences,f4 h5 e3 a5 b3
7.9400883,7.61494,random_legal_game_sequences,c4 e6 a4 Qf6 Nf3
7.818799,6.2122173,random_legal_game_sequences,e3 Nf6 f4 e6 Qf3
9.542803,10.987864,random_legal_game_sequences,d3 Nc6 Bf4 e5 a4
13.059809,6.7883787,random_legal_game_sequences,b3 f6 a4 d5 f3
11.132724,7.6838703,random_legal_game_sequences,f4 h6 e3 g6 Be2
12.5943365,6.842263,random_legal_game_sequences,c4 c5 g3 d5 e3
9.767646,7.646035,random_legal_game_sequences,b4 h5 d3 f6 Bh6
9.739738,6.408872,random_legal_game_sequences,d4 e5 Kd2 h5 Kd3
6.275947,11.034453,random_legal_game_sequences,Na3 h6 Rb1 f5 Nh3
13.049627,7.761245,random_legal_game_sequences,h4 h5 a4 f5 f4
4.7438397,7.8030376,random_legal_game_sequences,d3 c5 Nh3 a5 e4
6.331647,11.852259,random_legal_game_sequences,Na3 c5 f3 b5 d3
7.0477924,10.519956,random_legal_game_sequences,Na3 c6 h4 Na6 b3
3.142635,8.685393,random_legal_game_sequences,Nh3 d6 d4 c5 Qd3
10.901124,11.380469,random_legal_game_sequences,d4 Na6 a4 e6 e4
10.598857,8.83279,random_legal_game_sequences,d4 a5 Bg5 Ra7 b3
5.356817,6.8338113,random_legal_game_sequences,g3 c5 e4 Nh6 h3
5.4421415,7.845417,random_legal_game_sequences,b3 e5 Nh3 Be7 e3
8.1216755,11.018052,random_legal_game_sequences,c3 e6 Nf3 Ba3 g4
9.04296,11.094302,random_legal_game_sequences,Nc3 Nc6 h4 Rb8 g4
10.168595,7.4122148,random_legal_game_sequences,h3 h6 d4 b5 Bxh6
10.400261,7.319014,random_legal_game_sequences,d3 d5 a3 h6 Bf4
11.749671,7.074638,random_legal_game_sequences,c4 f6 g3 h5 b4
8.740406,6.637127,random_legal_game_sequences,a3 f5 d4 g5 Qd3
7.77827,7.53431,random_legal_game_sequences,e3 e6 Ne2 Qf6 Nf4
12.490821,7.0410075,random_legal_game_sequences,b4 c5 b5 e5 h3
4.822026,8.979948,random_legal_game_sequences,Nh3 Nc6 Nf4 Nb4 Nh5
4.3352766,9.086092,random_legal_game_sequences,Nf3 b6 Nh4 f5 g3
10.669174,7.892933,random_legal_game_sequences,d3 e5 Bf4 g6 Be3
12.792449,6.799735,random_legal_game_sequences,b4 b5 f4 g6 g4
7.682411,9.951549,random_legal_game_sequences,g4 f6 Bg2 Na6 f4
13.213634,6.791939,random_legal_game_sequences,g4 a6 a3 g5 f4
5.661549,10.000692,random_legal_game_sequences,Nf3 Na6 Ne5 b6 d4
11.005562,11.528464,random_legal_game_sequences,b3 Na6 h3 h6 h4
8.390115,6.344643,random_legal_game_sequences,c4 f5 Qc2 h5 Qb3
8.73758,8.351224,random_legal_game_sequences,d3 f5 Be3 Kf7 Nc3
8.754672,11.09183,random_legal_game_sequences,c4 Na6 Nf3 d5 Ng5
4.835517,9.078157,random_legal_game_sequences,Nc3 e6 Nh3 Nc6 a3
12.505137,7.4178915,random_legal_game_sequences,e4 f6 c4 h5 a4
4.887788,8.800628,random_legal_game_sequences,Nf3 g6 c3 Nh6 g3
8.055798,11.683567,random_legal_game_sequences,d3 f5 Nc3 h5 h4
6.29562,7.2941236,random_legal_game_sequences,c4 e5 Qc2 Bb4 Nh3
9.872562,8.40387,random_legal_game_sequences,f3 Nf6 a4 e5 Kf2
9.137986,11.512244,random_legal_game_sequences,b3 Nf6 Nf3 d5 c3
9.674272,7.4151306,random_legal_game_sequences,d4 d5 Bh6 Nf6 g3
5.7971106,10.210952,random_legal_game_sequences,Nc3 g6 Ne4 b5 Ng5
9.171855,9.057133,random_legal_game_sequences,e3 h5 Ba6 c5 Nc3
5.2195415,8.231134,random_legal_game_sequences,b4 a5 Nf3 d5 Nh4
12.609704,6.5462914,random_legal_game_sequences,g4 b5 c4 g5 c5
10.86292,7.4618726,random_legal_game_sequences,d3 f6 g4 a6 Bg5
9.867317,7.461878,random_legal_game_sequences,d3 h5 Bh6 a5 b3
5.848404,7.594848,random_legal_game_sequences,c3 f5 e3 Kf7 Nh3
9.706417,8.370973,random_legal_game_sequences,f4 a5 b4 Na6 Kf2
9.203485,6.131556,random_legal_game_sequences,c4 f6 g4 c6 Qa4
9.857308,10.992422,random_legal_game_sequences,a3 Nc6 f3 e6 d3
12.615239,7.5019975,random_legal_game_sequences,g3 f5 d4 c6 e3
3.9953022,7.5742903,random_legal_game_sequences,d4 Nh6 h4 c5 Bf4
4.8492856,8.458484,random_legal_game_sequences,Na3 h6 f3 Na6 Nh3
11.539381,7.2811666,random_legal_game_sequences,c4 h6 h3 b6 b4
12.436866,7.0904427,random_legal_game_sequences,f3 b6 g3 a5 h3
11.759942,8.556852,random_legal_game_sequences,d4 e5 Be3 c5 b4
5.954023,10.378344,random_legal_game_sequences,Nf3 Nc6 b4 b6 Nc3
4.6162395,8.83586,random_legal_game_sequences,Nf3 Nh6 e3 Nf5 b3
12.337912,7.4460864,random_legal_game_sequences,d3 g6 e4 h5 h4
7.2371054,6.645375,random_legal_game_sequences,c4 Nh6 Qb3 Na6 Qd3
9.66315,11.181179,random_legal_game_sequences,c4 Nf6 e3 d5 e4
7.7688336,9.12354,random_legal_game_sequences,h3 g5 h4 Nf6 f3
8.948442,10.785654,random_legal_game_sequences,a3 Nf6 b3 Ng4 h3
6.3415985,11.816072,random_legal_game_sequences,Na3 a6 d4 g5 b3
12.792884,7.6709223,random_legal_game_sequences,h3 e6 g3 f5 h4
4.227338,7.677806,random_legal_game_sequences,g4 Nh6 Na3 c6 c3
10.870166,7.9549623,random_legal_game_sequences,e3 d6 Bc4 b5 Be2
9.143655,10.823782,random_legal_game_sequences,h4 Nf6 f4 Ne4 h5
9.036762,9.268401,random_legal_game_sequences,f4 a6 d3 e6 Nc3
3.526717,8.927885,random_legal_game_sequences,Nh3 f6 a3 a6 f3
