PCA1,PCA2,label,sentence
0.028450739,-0.05154484,correct_math_sequences,The result of 7923 + 8909 is 16832
0.0112527,0.0055979593,correct_math_sequences,The result of 6482 + 4302 is 10784
-0.03682137,-0.0052059893,correct_math_sequences,The result of 4433 + 3482 is 7915
0.039137166,-0.024921138,correct_math_sequences,The result of 9509 + 3973 is 13482
-0.012235412,-0.014166547,correct_math_sequences,The result of 7540 + 1079 is 8619
-0.037050053,0.025388366,correct_math_sequences,The result of 3225 + 1239 is 4464
-0.00600219,0.03213174,correct_math_sequences,The result of 1227 + 5502 is 6729
0.0133283185,-0.0054843524,correct_math_sequences,The result of 8410 + 1749 is 10159
-0.023800904,-0.0011209729,correct_math_sequences,The result of 2982 + 2413 is 5395
0.0117519675,-0.0006812111,correct_math_sequences,The result of 1938 + 8214 is 10152
-0.003865648,-0.010904692,correct_math_sequences,The result of 6062 + 8626 is 14688
0.03172119,0.057661604,correct_math_sequences,The result of 5182 + 1473 is 6655
0.021528015,-0.014461189,correct_math_sequences,The result of 3108 + 7895 is 11003
0.039195027,-0.024060212,correct_math_sequences,The result of 5907 + 7911 is 13818
-0.036281485,-0.013599207,correct_math_sequences,The result of 4645 + 2991 is 7636
0.017242383,0.038765628,correct_math_sequences,The result of 1752 + 6554 is 8306
0.002106093,-0.020847972,correct_math_sequences,The result of 8325 + 6144 is 14469
0.030804807,0.022215297,correct_math_sequences,The result of 7137 + 3454 is 10591
-0.03618079,0.0114630535,correct_math_sequences,The result of 3139 + 3705 is 6844
-0.019309651,-0.00074001,correct_math_sequences,The result of 1491 + 2456 is 3947
0.019033525,0.01074327,correct_math_sequences,The result of 7768 + 7641 is 15409
-0.003392253,-0.053596515,correct_math_sequences,The result of 8395 + 9240 is 17635
-0.009444399,-0.017374394,correct_math_sequences,The result of 7382 + 3028 is 10410
0.030826472,-0.014273145,correct_math_sequences,The result of 6991 + 6071 is 13062
0.037741084,0.025574774,correct_math_sequences,The result of 5808 + 6471 is 12279
-0.024173776,-0.0005705886,correct_math_sequences,The result of 2161 + 6650 is 8811
-0.017319331,-0.0039005177,correct_math_sequences,The result of 2937 + 3509 is 6446
0.0073354077,0.024599846,correct_math_sequences,The result of 1261 + 1096 is 2357
0.016036715,0.0030655744,correct_math_sequences,The result of 6335 + 9269 is 15604
-0.011742331,0.016321693,correct_math_sequences,The result of 5722 + 2779 is 8501
-0.028372983,-0.0008782254,correct_math_sequences,The result of 6300 + 1340 is 7640
0.008244479,-0.008487732,correct_math_sequences,The result of 4797 + 8550 is 13347
0.02195237,0.002229595,correct_math_sequences,The result of 1529 + 8668 is 10197
0.03287966,-0.024334285,correct_math_sequences,The result of 9354 + 5512 is 14866
0.011841156,-0.029106686,correct_math_sequences,The result of 7944 + 7106 is 15050
-0.015348762,0.0398033,correct_math_sequences,The result of 4527 + 3277 is 7804
-0.025163522,0.028196357,correct_math_sequences,The result of 1018 + 4420 is 5438
-0.031789016,-0.014038722,correct_math_sequences,The result of 5891 + 2033 is 7924
-0.014138266,-0.023399463,correct_math_sequences,The result of 6445 + 7884 is 14329
-0.0028703737,-0.0008706955,correct_math_sequences,The result of 6837 + 4669 is 11506
0.0010780095,0.013776161,correct_math_sequences,The result of 7059 + 2596 is 9655
-0.0033064438,-0.004126561,correct_math_sequences,The result of 3556 + 7476 is 11032
0.028354071,-0.0074908724,correct_math_sequences,The result of 1456 + 9775 is 11231
0.016425947,-0.020024931,correct_math_sequences,The result of 9554 + 7646 is 17200
0.060684018,-0.015315636,correct_math_sequences,The result of 8363 + 9349 is 17712
0.03399297,0.019998128,correct_math_sequences,The result of 1509 + 7299 is 8808
-0.007651857,-0.026608173,correct_math_sequences,The result of 2658 + 9562 is 12220
