PCA1,PCA2,label,sentence,PCA3
0.07893124,0.02580395,correct_chess,e4 e6 d4 b6 a3 Bb7 Nc3 Nh6 Bxh6 gxh6 Be2 Qg5 Bg4 h5 Nf3 Qg6 Nh4 Qg5 Bxh5 Qxh4 Qf3 Kd8 Qxf7 Nc6 Qe8#,0.0016124888
0.022997735,-0.0056668734,correct_chess,d4 d5 Nf3 Nf6 e3 Bf5 Nh4 Bg6 Nxg6 hxg6 Nd2 e6 Bd3 Bd6 e4 dxe4 Nxe4 Rxh2 Ke2 Rxh1 Qxh1 Nc6 Bg5 Ke7 Qh7 Nxd4+ Kd2 Qe8 Qxg7 Qh8 Bxf6+ Kd7 Qxh8 Rxh8 Bxh8,0.02726546
0.101659484,0.03302343,correct_chess,e4 e5 Nf3 Nc6 Bc4 Nf6 Nc3 Bc5 a3 Bxf2+ Kxf2 Nd4 d3 Ng4+ Kf1 Qf6 h3 d5 Nxd5 Qe6 Nxc7+,-0.00516583
-0.06472661,0.020549184,correct_chess,e4 c6 Nc3 d5 Qf3 dxe4 Nxe4 Nd7 Bc4 Ngf6 Nxf6+ Nxf6 Qg3 Bf5 d3 Bg6 Ne2 e6 Bf4 Nh5 Qf3 Nxf4 Nxf4 Be7 Bxe6 fxe6 Nxe6 Qa5+ c3 Qe5+ Qe3 Qxe3+ fxe3 Kd7 Nf4 Bd6 Nxg6 hxg6 h3 Bg3+ Kd2 Raf8 Rhf1 Ke7 d4 Rxf1 Rxf1 Rf8 Rxf8 Kxf8 e4 Ke7 Ke3 g5 Kf3 Be1 Kg4 Bd2 Kf5 Bc1 Kg6 Kf8 e5 Bxb2 Kxg5 Bxc3 h4 Bxd4 h5 Bxe5 g4 Bb2 Kf5 Kf7 g5 Bc1 g6+ Ke7 Ke5 b5 Kd4 Kd6 Kc3 c5 a3 Bg5 a4 bxa4 Kb2 Kd5 Ka3 Kd4 Kxa4 c4,0.00088804803
0.01739769,-0.023520064,correct_chess,e4 e6 f4 d5 e5 c5 Nf3 Qb6 c3 Nc6 d3 Bd7 Be2 Nh6 O-O Nf5 g4 Nh6 Kg2 Nxg4 h3 Nh6 Ng5 Nf5 Bg4 Nce7 Nd2 Ne3+ Kf3 Nxd1 Rxd1 h6 Nxf7 Kxf7 Rf1 h5 Bxe6+ Bxe6 Kg3 Nf5+ Kg2 Ne3+ Kf2 Nxf1 Kxf1 Bxh3+,0.020028407
-0.032510053,0.002759732,correct_chess,e4 b6 Bc4 Bb7 d3 Nh6 Bxh6 gxh6 Qf3 e6 Nh3 Bg7 c3 Nc6 Qg3 Rg8 Qf3 Ne5 Qe3 Nxc4 dxc4 Qe7 O-O Qc5 Qxc5 b5 Qxb5 Bxe4 Nd2 Bc6 Qb3 Bxc3 g3 Bxd2 Rad1 Bg5 Nxg5 hxg5 Qd3 h6 b4 Ba4 Rd2 Rb8 b5 d6 Qa3 Bxb5 cxb5 Rxb5 Qxa7 Rc5 Qa8+ Ke7 Qxg8 e5 Qh8 d5 Qxe5+ Kd7 Rxd5+ Rxd5 Qxd5+,-0.00030606118
0.050198376,0.008118566,correct_chess,e4 e5 Nf3 Nc6 Bc4 Nf6 d3 Bc5 c3 O-O O-O d6 Bg5 Na5 Bb3 Nxb3 Qxb3 Be6 Qxb7 Rb8 Qa6 Rxb2 Nbd2 Rxd2 Nxd2 h6 Bh4 g5 Bg3 h5 h3 h4 Bh2 Qd7 Nf3 Bxh3 Nxg5 Qg4,-0.017884247
-0.00058764534,-0.017363515,correct_chess,e4 e5 c4 Bc5 Nf3 d6 d3 a6 a3 Bg4 h3 Bxf3 Qxf3 Qf6 Be2 Nd7 Nc3 Ne7 O-O Bd4 Bd2 h6 Rab1 g5 Qg4 c6 Be3 Ba7 Bxa7 Rxa7 b4 Qg6 Na4 h5 Qg3 Nf6 Qe3 Ra8 Nb6 Rb8 c5 d5 exd5 Nfxd5 Qxe5 Rd8 Qxh8+ Ng8 Bxh5 Qh6 Rbe1+ Ne7 Rxe7+ Kxe7 Re1+,-0.009209487
-0.043706283,0.007409578,correct_chess,d4 c5 c4 d6 Bf4 g6 Nf3 Bh6 Bxh6 Nxh6 Nc3 Nf5 d5 O-O e4 Nd4 Bd3 Bd7 O-O a6 Ng5 h5 Re1 e6 dxe6 Nxe6 Nxe6 Bxe6 Nd5 h4 h3 Bxh3 gxh3 Qg5+ Kf1 Nd7 Qa4 Nf6 Ne7+ Kh8 f3 Qg3 Ke2 Qxh3 Rh1 Qg2+ Ke3 h3 Qd1 Rae8 Bf1 Ng4+ Kd3 Ne5+ Kc3 Qg3 Rxh3+ Qxh3 Bxh3 Rxe7 Qxd6 Nc6 Rh1 Rd8 Qxc5 a5 Bd7+ Kg7 Bxc6 Rc7 Qe5+ f6 Qxc7+,0.005897847
-0.05693942,0.01814051,correct_chess,d4 e5 dxe5 d6 exd6 Bxd6 Nf3 Nf6 Nc3 O-O a3 Nc6 e3 a6 Be2 h6 O-O Ne5 Bd2 Nxf3+ Bxf3 Be5 Rc1 c6 Qe2 Qd6 Rfd1 Bxh2+ Kh1 Be5 e4 Bxc3 Bxc3 Qe6 Rd3 Bd7 Rcd1 Rad8 Bxf6 gxf6 Rd6 Qe7 R1d2 Be6 Rxd8 Rxd8 Rxd8+ Qxd8 c4 Qd4 c5 Qxc5 Qd2 f5 exf5 Bxf5 Qxh6 Bg6 Be4 Bxe4 Qh4 Bg6 Qd8+ Kg7 Qc7 b5 b4 Qc1+ Kh2 Qxa3 Qe5+ Kg8 Qe8+ Kg7 Qxc6 Qxb4 Qxa6 Qh4+ Kg1 b4 Qa1+ Qf6 Qa4 Qc3 f3 b3 Qa3 Qc2 Kh2 b2,-0.00037845675
