PCA1,PCA2,label,sentence
0.020340435,-0.021840833,human_chess_plays,e4 e6 d4 b6 a3 Bb7 Nc3 Nh6 Bxh6 gxh6 Be2 Qg5 Bg4 h5 Nf3 Qg6 Nh4 Qg5 Bxh5 Qxh4
-0.0035320367,-0.007100695,human_chess_plays,d4 d5 Nf3 Nf6 e3 Bf5 Nh4 Bg6 Nxg6 hxg6 Nd2 e6 Bd3 Bd6 e4 dxe4 Nxe4 Rxh2 Ke2 Rxh1
0.012640029,-0.038702156,human_chess_plays,e4 e5 Nf3 Nc6 Bc4 Nf6 Nc3 Bc5 a3 Bxf2+ Kxf2 Nd4 d3 Ng4+ Kf1 Qf6 h3 d5 Nxd5 Qe6
0.0013543502,-0.02440855,human_chess_plays,e4 c6 Nc3 d5 Qf3 dxe4 Nxe4 Nd7 Bc4 Ngf6 Nxf6+ Nxf6 Qg3 Bf5 d3 Bg6 Ne2 e6 Bf4 Nh5
-0.026253171,0.010004541,human_chess_plays,e4 e6 f4 d5 e5 c5 Nf3 Qb6 c3 Nc6 d3 Bd7 Be2 Nh6 O-O Nf5 g4 Nh6 Kg2 Nxg4
0.020782432,-0.01816653,human_chess_plays,e4 b6 Bc4 Bb7 d3 Nh6 Bxh6 gxh6 Qf3 e6 Nh3 Bg7 c3 Nc6 Qg3 Rg8 Qf3 Ne5 Qe3 Nxc4
-0.025457429,-0.0055396636,human_chess_plays,e4 e5 Nf3 Nc6 Bc4 Nf6 d3 Bc5 c3 O-O O-O d6 Bg5 Na5 Bb3 Nxb3 Qxb3 Be6 Qxb7 Rb8
-0.021259807,-0.005949852,human_chess_plays,e4 e5 c4 Bc5 Nf3 d6 d3 a6 a3 Bg4 h3 Bxf3 Qxf3 Qf6 Be2 Nd7 Nc3 Ne7 O-O Bd4
-0.013356765,0.0069522457,human_chess_plays,d4 c5 c4 d6 Bf4 g6 Nf3 Bh6 Bxh6 Nxh6 Nc3 Nf5 d5 O-O e4 Nd4 Bd3 Bd7 O-O a6
-0.038012054,0.004554802,human_chess_plays,d4 e5 dxe5 d6 exd6 Bxd6 Nf3 Nf6 Nc3 O-O a3 Nc6 e3 a6 Be2 h6 O-O Ne5 Bd2 Nxf3+
0.008737412,-0.023418492,human_chess_plays,e4 g6 d4 d6 Nf3 c6 h3 Nf6 Bg5 Nxe4 Qe2 Bf5 Nbd2 Qa5 c3 Nxd2 Bxd2 Nd7 b4 Qa3
-0.022437802,-0.012566944,human_chess_plays,e4 e6 d4 d5 Nc3 Nf6 Bg5 Be7 Bxf6 Bxf6 e5 Be7 Qg4 O-O Bd3 f5 Qg3 c5 Nf3 Qb6
-0.00499087,0.0030262542,human_chess_plays,e4 e5 Nf3 Nc6 Bc4 Bc5 a3 Qf6 b4 Bb6 d3 h6 Nc3 Nge7 O-O O-O Re1 a6 Be3 Nd4
-0.0018828464,0.0071483823,human_chess_plays,e4 e5 Nf3 Nc6 Bb5 Nge7 Nc3 h6 Nd5 a6 Ba4 b5 Bb3 Ng6 c4 b4 Ba4 Nd4 O-O c6
-0.023576492,-0.008340782,human_chess_plays,e4 c5 f4 d5 exd5 Qxd5 Nc3 Qd8 Bc4 Bf5 d3 a6 g4 Bd7 a4 e6 Bd2 Bc6 Nf3 Bxf3
-0.03984608,-8.842713e-05,human_chess_plays,e4 e6 d4 d5 e5 c5 c3 Ne7 f4 cxd4 cxd4 Nf5 Nf3 Nc6 Bb5 Bd7 O-O Qb6 Bxc6 Bxc6
-0.0074176826,-0.047054727,human_chess_plays,e4 e6 d4 b6 d5 Bb4+ c3 Bc5 b4 Bd6 Nf3 exd5 e5 Qe7 Qxd5 Bxe5 Nxe5 c6 Qxf7+ Qxf7
0.026872814,-0.06506925,human_chess_plays,e4 d5 exd5 Qxd5 Nc3 Qe5+ Be2 Bg4 d4 Qe6 Be3 Nc6 Bxg4 Qg6 Bf3 Nb4 Be4 Qa6 Nb5 Qxb5
-0.0234107,-0.028240116,human_chess_plays,e4 e5 Bc4 Nf6 d3 Bc5 Bg5 Bxf2+ Kxf2 Nxe4+ dxe4 Qxg5 Nf3 Qf6 Qd5 Nc6 Rf1 O-O Kg1 Nb4
-0.0320361,-0.005431848,human_chess_plays,e4 e5 f4 d6 Nf3 Nc6 d4 exd4 Nxd4 Be7 Nxc6 bxc6 Bc4 Be6 Bxe6 fxe6 c4 Nh6 Nc3 O-O
-0.02923154,-0.015501438,human_chess_plays,e4 e5 Nf3 Nc6 Bc4 Be7 d4 exd4 Nxd4 d6 Nc3 Nf6 Bg5 Nxd4 Qxd4 h6 Bh4 O-O O-O-O Bd7
0.007428112,-0.044852696,human_chess_plays,e4 d5 exd5 Qxd5 Nc3 Qe6+ Qe2 Nf6 Nf3 b6 d3 h6 Qxe6 Bxe6 Be2 Nbd7 O-O Bg4 Bf4 Rc8
-0.031120284,0.020330116,human_chess_plays,d4 d5 c4 dxc4 e4 g6 Bxc4 Bg7 Ne2 Nf6 Nbc3 O-O O-O e6 Be3 Nbd7 f3 Nb6 Bd3 a5
-0.0137355635,-0.007873399,human_chess_plays,e4 e5 Nf3 Qf6 d4 d6 d5 Bd7 Nc3 a6 Be3 Be7 Qd3 Nh6 Qc4 Bd8 O-O-O Ng4 Bg5 Qg6
-0.021547329,0.018744932,human_chess_plays,d4 e6 e3 c5 c3 d5 Bd3 c4 Bc2 b5 f4 Nc6 Nf3 a5 O-O Bb7 Nbd2 b4 Ne5 Bd6
-0.043049194,0.020464204,human_chess_plays,e4 g6 c4 Bg7 d4 b6 Nf3 c5 d5 Nf6 Nc3 O-O Bd3 e6 d6 Nc6 Nb5 Ba6 Nc7 Bb7
-0.021655299,0.02250873,human_chess_plays,c4 Nf6 Nf3 e6 e3 c5 Nc3 Nc6 Be2 b6 O-O Bb7 b3 Be7 Bb2 O-O Rc1 e5 d4 e4
-0.040831365,0.010616442,human_chess_plays,e4 e6 d4 d5 e5 c5 c3 Ne7 f4 Nbc6 Nf3 cxd4 cxd4 Nf5 g4 Nfe7 Nc3 Bd7 Bd3 Nb4
0.011068863,-0.038316835,human_chess_plays,e4 d6 d4 c6 c4 b5 d5 cxd5 cxd5 Bd7 Qb3 Qa5+ Bd2 Qb6 Na3 a6 Nc4 Qd4 Nf3 Qxe4+
-0.03572213,0.00481138,human_chess_plays,d4 c5 c4 cxd4 Qxd4 Nc6 Qd1 g6 a3 Bg7 Nf3 d6 Bg5 Nf6 Nc3 Qb6 Qc2 O-O e3 Bf5
-0.034262836,0.003752094,human_chess_plays,e4 e5 Nf3 Nc6 Bc4 Nf6 d3 h6 O-O Bc5 h3 d6 Nc3 Nd4 Nd5 Nxd5 exd5 c6 a3 cxd5
0.01314308,-0.05154752,human_chess_plays,e4 e5 d4 Qf6 dxe5 Qxe5 Qe2 Nf6 Nf3 Qxe4 Qxe4+ Nxe4 Nbd2 Nxd2 Bxd2 g6 Bc3 Rg8 Ng5 Bg7
-0.037957184,0.0048993947,human_chess_plays,e4 g6 d4 Bg7 c3 e6 Bd3 f5 exf5 gxf5 Nf3 Qf6 Bg5 Qg6 O-O h6 Bf4 Nf6 Bxc7 Nc6
-0.034905124,-0.0015914525,human_chess_plays,e4 e5 Bc4 c6 Nf3 d5 exd5 cxd5 Bb3 Nc6 Ba4 Bd6 O-O e4 Re1 Nf6 d3 O-O dxe4 dxe4
-0.0381961,0.0068344357,human_chess_plays,e4 c5 Nf3 d6 h3 Nc6 d4 cxd4 Nxd4 e5 Nxc6 bxc6 Nc3 Nf6 Bc4 Rb8 Rb1 Nxe4 Nxe4 d5
